am/manager					Menu_Tools_Automation			FrameMain::OnOpenAutomation
app/about					Menu_Help_About					FrameMain::OnAbout
app/display/audio_subs		Menu_View_Audio					FrameMain::OnViewAudio
app/display/full			Menu_View_Standard				FrameMain::OnViewStandard
app/display/subs			Menu_View_Subs					FrameMain::OnViewSubs
app/display/video_subs		Menu_View_Video					FrameMain::OnViewVideo
app/exit					Menu_File_Exit					FrameMain::OnExit
app/language				Menu_View_Language				FrameMain::OnChooseLanguage
app/log						Menu_Help_Log					FrameMain::OnLog
app/new_window				Menu_File_New_Window			FrameMain::OnNewWindow
app/options					Menu_Tools_Options				FrameMain::OnOpenPreferences
app/updates					Menu_Help_Check_Updates			FrameMain::OnCheckUpdates
audio/close					Menu_Audio_Close				FrameMain::OnCloseAudio	
audio/open					Menu_Audio_Open_File			FrameMain::OnOpenAudio
audio/open/blank			Menu_Audio_Open_Dummy			FrameMain::OnOpenDummyAudio
audio/open/noise			Menu_Audio_Open_Dummy_Noise		FrameMain::OnOpenDummyNoiseAudio
audio/open/video			Menu_Audio_Open_From_Video		FrameMain::OnOpenAudioFromVideo
edit/line/copy				Menu_Edit_Copy					FrameMain::OnCopy
edit/line/cut				Menu_Edit_Cut					FrameMain::OnCut
edit/line/paste				Menu_Edit_Paste					FrameMain::OnPaste
edit/line/paste/over		Menu_Edit_Paste_Over			FrameMain::OnPasteOver
edit/redo					Menu_Edit_Redo					FrameMain::OnRedo
edit/search_replace			Menu_Edit_Replace				FrameMain::OnReplace
edit/undo					Menu_Edit_Undo					FrameMain::OnUndo
grid/line/next				Grid_Next_Line					FrameMain::OnNextLine
grid/line/prev				Grid_Prev_Line					FrameMain::OnPrevLine
grid/tag/cycle_hiding		Grid_Toggle_Tags				FrameMain::OnToggleTags
grid/tags/hide				Menu_View_NoTags				FrameMain::OnSetTags
grid/tags/show				Menu_View_FullTags				FrameMain::OnSetTags
grid/tags/simplify			Menu_View_ShortTags				FrameMain::OnSetTags

help/bugs					Menu_Help_BugTracker			FrameMain::OnBugTracker
help/contents				Menu_Help_Contents				FrameMain::OnContents
help/files					Menu_Help_Files					FrameMain::OnFiles
help/forums					Menu_Help_Forums				FrameMain::OnForums
help/irc					Menu_Help_IRCChannel			FrameMain::OnIRCChannel
